what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340027330349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027345147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027348506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027352008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1340027392961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027392994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1340027399572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027399588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027403339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027416675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1340027432467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1340027432467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027432493
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1340027438348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027438369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340027456050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340027462739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340027504937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340027506493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340027507860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340027509421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340027509894
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1340027574709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340027577456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340027583490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340027601766
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1340027608743
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1340027609359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340027609703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340027657648
